название,цена,адрес,площадь,комнаты,этаж,тип_дома,район,источник
"2-комнатная квартира, 95 м², Западный район",8 341 581 ₽,"г. Краснодар, ул. Уральская, д. 32",95 м²,2,14/5,брежневка,Западный,Сгенерировано на основе данных Краснодара
"1-комнатная квартира, 92 м², Карасунский район",13 005 278 ₽,"г. Краснодар, ул. Коммунаров, д. 94",92 м²,1,9/10,новостройка,Карасунский,Сгенерировано на основе данных Краснодара
"3-комнатная квартира, 48 м², Карасунский район",4 528 170 ₽,"г. Краснодар, ул. им. Петра Метальникова, д. 46",48 м²,3,7/17,хрущевка,Карасунский,Сгенерировано на основе данных Краснодара
"1-комнатная квартира, 100 м², Прикубанский район",11 330 839 ₽,"г. Краснодар, ул. Красная, д. 85",100 м²,1,20/8,брежневка,Прикубанский,Сгенерировано на основе данных Краснодара
"4-комнатная квартира, 60 м², Карасунский район",7 079 870 ₽,"г. Краснодар, ул. Тургенева, д. 46",60 м²,4,14/11,современный,Карасунский,Сгенерировано на основе данных Краснодара
"3-комнатная квартира, 101 м², Карасунский район",13 591 173 ₽,"г. Краснодар, ул. Красная, д. 50",101 м²,3,12/25,современный,Карасунский,Сгенерировано на основе данных Краснодара
"3-комнатная квартира, 111 м², Центральный район",19 565 326 ₽,"г. Краснодар, ул. Кубанская Набережная, д. 131",111 м²,3,13/14,новостройка,Центральный,Сгенерировано на основе данных Краснодара
"2-комнатная квартира, 73 м², Прикубанский район",7 297 896 ₽,"г. Краснодар, ул. Октябрьская, д. 18",73 м²,2,18/23,хрущевка,Прикубанский,Сгенерировано на основе данных Краснодара
"1-комнатная квартира, 104 м², Центральный район",11 440 241 ₽,"г. Краснодар, ул. Коммунаров, д. 6",104 м²,1,13/23,сталинка,Центральный,Сгенерировано на основе данных Краснодара
"4-комнатная квартира, 37 м², Центральный район",5 932 786 ₽,"г. Краснодар, ул. Октябрьская, д. 54",37 м²,4,17/11,современный,Центральный,Сгенерировано на основе данных Краснодара
"3-комнатная квартира, 55 м², Центральный район",9 514 371 ₽,"г. Краснодар, ул. Гоголя, д. 75",55 м²,3,5/5,новостройка,Центральный,Сгенерировано на основе данных Краснодара
"3-комнатная квартира, 54 м², Прикубанский район",5 762 615 ₽,"г. Краснодар, ул. им. Петра Метальникова, д. 27",54 м²,3,3/9,новостройка,Прикубанский,Сгенерировано на основе данных Краснодара
"1-комнатная квартира, 55 м², Западный район",6 694 806 ₽,"г. Краснодар, ул. Тургенева, д. 134",55 м²,1,8/25,хрущевка,Западный,Сгенерировано на основе данных Краснодара
"1-комнатная квартира, 28 м², Центральный район",3 400 328 ₽,"г. Краснодар, ул. Красная, д. 72",28 м²,1,6/8,новостройка,Центральный,Сгенерировано на основе данных Краснодара
"3-комнатная квартира, 110 м², Прикубанский район",9 340 993 ₽,"г. Краснодар, ул. Северная, д. 70",110 м²,3,7/7,сталинка,Прикубанский,Сгенерировано на основе данных Краснодара
"3-комнатная квартира, 55 м², Карасунский район",5 361 484 ₽,"г. Краснодар, ул. Восточно-Кругликовская, д. 120",55 м²,3,1/11,новостройка,Карасунский,Сгенерировано на основе данных Краснодара
"2-комнатная квартира, 91 м², Карасунский район",12 826 855 ₽,"г. Краснодар, ул. Зиповская, д. 101",91 м²,2,10/13,сталинка,Карасунский,Сгенерировано на основе данных Краснодара
"3-комнатная квартира, 67 м², Западный район",7 112 612 ₽,"г. Краснодар, ул. Красная, д. 16",67 м²,3,9/8,хрущевка,Западный,Сгенерировано на основе данных Краснодара
"1-комнатная квартира, 97 м², Западный район",9 146 416 ₽,"г. Краснодар, ул. Селезнева, д. 15",97 м²,1,8/19,современный,Западный,Сгенерировано на основе данных Краснодара
"3-комнатная квартира, 39 м², Прикубанский район",3 445 344 ₽,"г. Краснодар, ул. Зиповская, д. 144",39 м²,3,14/18,новостройка,Прикубанский,Сгенерировано на основе данных Краснодара
"3-комнатная квартира, 99 м², Прикубанский район",10 027 711 ₽,"г. Краснодар, ул. им. Петра Метальникова, д. 137",99 м²,3,10/20,брежневка,Прикубанский,Сгенерировано на основе данных Краснодара
"2-комнатная квартира, 32 м², Центральный район",4 578 462 ₽,"г. Краснодар, ул. Дзержинского, д. 28",32 м²,2,17/11,брежневка,Центральный,Сгенерировано на основе данных Краснодара
"3-комнатная квартира, 44 м², Западный район",5 304 335 ₽,"г. Краснодар, ул. Красноармейская, д. 45",44 м²,3,20/15,современный,Западный,Сгенерировано на основе данных Краснодара
"1-комнатная квартира, 34 м², Западный район",3 176 400 ₽,"г. Краснодар, ул. Красноармейская, д. 92",34 м²,1,16/24,современный,Западный,Сгенерировано на основе данных Краснодара
"4-комнатная квартира, 38 м², Западный район",4 368 805 ₽,"г. Краснодар, ул. им. Петра Метальникова, д. 105",38 м²,4,12/16,сталинка,Западный,Сгенерировано на основе данных Краснодара
"3-комнатная квартира, 108 м², Прикубанский район",14 570 296 ₽,"г. Краснодар, ул. Красноармейская, д. 2",108 м²,3,2/9,современный,Прикубанский,Сгенерировано на основе данных Краснодара
"2-комнатная квартира, 111 м², Западный район",17 702 914 ₽,"г. Краснодар, ул. Уральская, д. 23",111 м²,2,10/11,новостройка,Западный,Сгенерировано на основе данных Краснодара
