"Rank";"Country";"Quality_of_Life_Index";"Purchasing_Power_Index";"Safety_Index";"Health_Care_Index";"Cost_of_Living_Index";"Property_Price_to_Income_Ratio";"Traffic_Commute_Time_Index";"Pollution_Index";"Climate_Index";"Year";"Country_Ru"
2;"United States";195,5;132,9;49,9;68,6;77,4;2,4;37,1;35,1;NA;2014;"США"
3;"Germany";192,7;112,3;72,9;75,3;87,1;5,6;36,1;30,2;NA;2014;"Германия"
34;"Uruguay";91,9;39,6;53,4;59,6;77,4;11,6;45;21,3;NA;2014;"Уругвай"
58;"China";30,3;43,7;69,9;65,1;54,1;26,1;31,2;84,7;NA;2014;"Китай"
64;"Russia";16,5;37,3;47,3;43,5;61,8;14,7;49,7;76,5;NA;2014;"Россия"
2;"Germany";195,9;111,8;71,5;75,6;76,3;6,6;31,1;28,3;NA;2015;"Германия"
4;"United States";192,5;126,1;50;67,8;76,5;2,6;36;31,4;NA;2015;"США"
42;"Uruguay";93,1;44,9;52,8;67,9;68,6;11,2;45;31,7;NA;2015;"Уругвай"
72;"Russia";28,4;38,9;48,7;51,8;61,9;14,6;47,1;72,8;NA;2015;"Россия"
76;"China";16;48,6;58,3;58,7;48,9;26,4;37,5;89,4;NA;2015;"Китай"
4;"Germany";199,7;147,6;67;75,8;65,5;7,1;29,1;29,9;63;2016;"Германия"
12;"United States";184;139,2;51,1;67,8;74,1;3,4;33,4;34,9;67,6;2016;"США"
46;"China";99;77,4;67,9;61,2;48,1;25;44,1;85,5;46,6;2016;"Китай"
51;"Russia";88,3;57,4;52,7;54,1;38,5;12,8;49,1;64,5;10,9;2016;"Россия"
2;"Germany";189,7;124,9;68;76,7;65,5;7,5;30,6;27,1;58;2017;"Германия"
7;"United States";179,7;123,2;51,2;68,2;75,4;3,3;34,6;31,2;67,9;2017;"США"
57;"China";91;67,8;66,1;62,2;44,8;23,3;43,9;89;38,7;2017;"Китай"
61;"Russia";85,9;48,3;53,9;56,4;42;13,5;48,6;63;10,7;2017;"Россия"
6;"Germany";190;125;63,3;75,4;74,3;8;31,3;27,3;82,5;2018;"Германия"
9;"United States";180,6;127,6;50,4;68,4;73;3,3;34,7;31,7;78,2;2018;"США"
51;"Russia";103,3;51,1;54,8;56,8;43,9;11,4;48,3;63,3;44,7;2018;"Россия"
55;"China";99,4;72,3;60,6;62,9;44,6;28,2;42,5;85,9;78,8;2018;"Китай"
8;"Germany";187;116,2;65,5;74,3;67,6;9;29,9;28;82,5;2019;"Германия"
13;"United States";179,2;122;52,9;69,4;69,9;3,6;32,9;33,9;77,5;2019;"США"
59;"Russia";104,9;45,4;58,1;57,6;35,5;12,4;46;62,8;46,5;2019;"Россия"
65;"China";97,9;69;54,5;64;39,2;29,1;42,5;81,9;78,9;2019;"Китай"
