Size;Algorithm;Threads;Time(s)
120;Sequential;1;0.0860184
120;Striped;1;0.0751978
120;Blocked;1;0.0585261
120;Striped;2;0.0611474
120;Blocked;2;0.0352205
120;Striped;3;0.0366033
120;Blocked;3;0.0257186
120;Striped;4;0.0274795
120;Blocked;4;0.0285738
250;Sequential;1;0.972485
250;Striped;1;0.682973
250;Blocked;1;0.396374
250;Striped;2;0.404381
250;Blocked;2;0.28135
250;Striped;3;0.326958
250;Blocked;3;0.199581
250;Striped;4;0.260342
250;Blocked;4;0.168361
500;Sequential;1;4.48595
500;Striped;1;4.47193
500;Blocked;1;2.93253
500;Striped;2;2.39648
500;Blocked;2;1.69585
500;Striped;3;1.8388
500;Blocked;3;1.29628
500;Striped;4;1.55613
500;Blocked;4;1.05217
800;Sequential;1;18.3011
800;Striped;1;18.3286
800;Blocked;1;12.0907
800;Striped;2;9.78073
800;Blocked;2;6.64471
800;Striped;3;7.39718
800;Blocked;3;4.98031
800;Striped;4;6.0957
800;Blocked;4;4.15641
